date,abstra,title,ul,cw,rsw,kw,label
2020/8/21 6:43:02,1908年，美国国会通过法案，指定珍珠港为美国海军基地。1933年，日本退出国际联盟后，为应对迅速崛起的日本海军力量，遏制其在太平洋上的扩张，美海军积极着手扩充军备。1941年，罗斯福下令将太平洋舰队调往夏威夷，进驻珍珠港。,珍珠港海军基地——美国海军太平洋舰队大本营,http://news.china.com.cn/2020-08/21/content_76620606.htm,"['1908年', '，', '美国国会', '通过', '法案', '，', '指定', '珍珠港', '为', '美国海军基地', '。', '1933年', '，', '日本', '退出', '国际联盟', '后', '，', '为', '应对', '迅速', '崛起', '的', '日本海军', '力量', '，', '遏制', '其', '在', '太平洋', '上', '的', '扩张', '，', '美海军', '积极', '着手', '扩充', '军备', '。', '1941年', '，', '罗斯福', '下令', '将', '太平洋舰队', '调往', '夏威夷', '，', '进驻', '珍珠港', '。']","['1908年', '美国国会', '法案', '指定', '珍珠港', '美国海军基地', '1933年', '日本', '退出', '国际联盟', '应对', '崛起', '日本海军', '力量', '遏制', '太平洋', '扩张', '美海军', '着手', '扩充', '军备', '1941年', '罗斯福', '下令', '太平洋舰队', '调往', '夏威夷', '进驻', '珍珠港']","['年', '海军', '扩充', '珍珠港', '日本']",其它
2020/5/21 3:49:19,美军一架F-35型联合攻击战斗机于19日晚在佛罗里达州埃格林空军基地附近的例行训练中坠毁，这是美国军机在不到一周内于该军事基地附近发生的第二起坠毁事故。,美军一架F-35型战斗机坠毁,http://news.china.com.cn/2020-05/21/content_76069520.htm,"['美军', '一', '架', 'F', '-', '35', '型', '联合', '攻击', '战斗机', '于', '19日晚', '在', '佛罗里达州', '埃格林空军基地', '附近', '的', '例行', '训练', '中', '坠毁', '，', '这是', '美国', '军机', '在', '不', '到', '一周', '内', '于', '该', '军事基地', '附近', '发生', '的', '第二起', '坠毁', '事故', '。']","['美军', '架', 'F', '35', '型', '联合', '攻击', '战斗机', '19日晚', '佛罗里达州', '埃格林空军基地', '例行', '训练', '中', '坠毁', '这是', '美国', '军机', '一周', '军事基地', '发生', '第二起', '坠毁', '事故']","['坠毁', '附近', '架', '周内', '不到']",坠机
2019/8/23 4:04:07,19日，为庆祝航空日，美军F-22在芝加哥超低空飞行表演。,为庆祝航空日 美军F-22在芝加哥超低空飞行表演,http://news.china.com.cn/2019-08/23/content_75128598.htm,"['19日', '，', '为', '庆祝', '航空', '日', '，', '美军', 'F-22', '在', '芝加哥超低空', '飞行', '表演', '。']","['19日', '庆祝', '航空', '日', '美军', 'F-22', '芝加哥超低空', '飞行', '表演']","['日', '飞行', '超低空', '芝加哥', '22']",其它
2019/7/3 7:28:40,伊朗周一宣布低浓度浓缩铀存量超过了300公斤，这是2015年伊朗核协议所允许的上限。伊朗外长扎里夫1日公开表示，伊朗低浓度浓缩铀存量已经突破300公斤，这打破了伊朗核协议允许伊朗储存低浓度浓缩铀的上限。,伊朗浓缩铀储量超过“上限” 美政客撺掇对伊动武,http://news.china.com.cn/2019-07/03/content_74946560.htm,"['伊朗', '周一', '宣布', '低', '浓度', '浓缩铀', '存量', '超过', '了', '300公斤', '，', '这是', '2015年', '伊朗', '核', '协议', '所', '允许', '的', '上限', '。', '伊朗', '外长', '扎里夫', '1日', '公开', '表示', '，', '伊朗', '低', '浓度', '浓缩铀', '存量', '已经', '突破', '300公斤', '，', '这', '打破', '了', '伊朗', '核', '协议', '允许', '伊朗', '储存', '低', '浓度', '浓缩铀', '的', '上限', '。']","['伊朗', '周一', '低', '浓度', '浓缩铀', '存量', '超过', '300公斤', '这是', '2015年', '伊朗', '核', '协议', '上限', '伊朗', '外长', '扎里夫', '1日', '公开', '伊朗', '低', '浓度', '浓缩铀', '存量', '突破', '300公斤', '打破', '伊朗', '核', '协议', '伊朗', '储存', '低', '浓度', '浓缩铀', '上限']","['伊朗', '低', '公斤', '300', '浓缩铀']",其它
2019/7/2 20:12:49,有传闻称，观察美军是否会对某国下手，一盯航母，二瞧“猛禽”。这话有些偏颇，但也反映了如今美国对外军事威慑几把常用“板斧”。美国《空军》杂志6月30日称，近日多架F－22“猛禽”战斗机已悄然抵达卡塔尔的乌代德基地，美军派出“克制伊朗S－300防空系统”的“猛禽”，是否真的准备对伊朗动武？如果爆发武装冲突，战事又将如何进行？外界对此猜测纷纷。,外媒猜美如何突袭伊朗:F-22踹门 F-35和B-2补刀,http://news.china.com.cn/2019-07/02/content_74945520.htm,"['有', '传闻', '称', '，', '观察', '美军', '是否', '会', '对', '某', '国', '下手', '，', '一', '盯', '航母', '，', '二', '瞧', '“', '猛禽', '”', '。', '这话', '有些', '偏颇', '，', '但', '也', '反映', '了', '如今', '美国', '对外', '军事', '威慑', '几', '把', '常用', '“', '板', '斧', '”', '。', '美国', '《', '空军》杂志', '6月30日', '称', '，', '近日', '多', '架', 'F－22', '“', '猛禽', '”', '战斗机', '已', '悄然', '抵达', '卡塔尔', '的', '乌代德基地', '，', '美军', '派出', '“', '克制', '伊朗S－300', '防空', '系统', '”', '的', '“', '猛禽', '”', '，', '是否', '真', '的', '准备', '对', '伊朗', '动武', '？', '如果', '爆发', '武装', '冲突', '，', '战事', '又', '将', '如何', '进行', '？', '外界', '对此', '猜测', '纷纷', '。']","['称', '观察', '美军', '国', '下手', '盯', '航母', '二', '瞧', '猛禽', '这话', '偏颇', '美国', '对外', '军事', '威慑', '常用', '板', '斧', '美国', '空军》杂志', '6月30日', '称', '近日', '架', 'F－22', '猛禽', '战斗机', '悄然', '抵达', '卡塔尔', '乌代德基地', '美军', '派出', '克制', '伊朗S－300', '防空', '系统', '猛禽', '真', '伊朗', '动武', '爆发', '武装', '冲突', '战事', '外界', '对此', '猜测', '纷纷']","['伊朗', '称', '猛禽', '－', '美军']",其它
2019/6/28 1:29:07,外媒称，尽管近期国际局势持续紧张，但是美国空军坦言，F-22“猛禽”隐身战机已经确认无法实现在9月前可执行任务率达到80%的目标。,美空军确认F-22隐身战机无法完成战备率目标,http://news.china.com.cn/2019-06/28/content_74929401.htm,"['外媒', '称', '，', '尽管', '近期', '国际局势', '持续', '紧张', '，', '但是', '美国空军', '坦言', '，', 'F-22', '“', '猛禽', '”', '隐身', '战机', '已经', '确认', '无法', '实现', '在', '9月', '前', '可', '执行', '任务', '率', '达到', '80%', '的', '目标', '。']","['外媒', '称', '近期', '国际局势', '持续', '紧张', '美国空军', '坦言', 'F-22', '猛禽', '隐身', '战机', '确认', '9月', '前', '执行', '率', '80%', '目标']","['%', '称', '80', '达到', '率']",其它
2019/6/26 3:13:14,美国《防务一号》网站近日报道称，美国国防部高级研究计划局（DARPA）将启动“空战进化”（ACE）项目，通过测试人类飞行员和人工智能实体在激烈空战中的配合，研究人类对自主空战系统的信任问题，加强人-机在各类场景空战中的协同作战。,人机协同投入实战 智能化战争或从实验室打响,http://news.china.com.cn/2019-06/26/content_74921522.htm,"['美国', '《', '防务一号》网站', '近日', '报道', '称', '，', '美国国防部高级研究计划局', '（', 'DA', 'R', 'PA', '）', '将', '启动', '“', '空战', '进化', '”', '（', 'AC', 'E', '）', '项目', '，', '通过', '测试', '人类', '飞行员', '和', '人工', '智能', '实体', '在', '激烈', '空战', '中', '的', '配合', '，', '研究', '人类', '对', '自主', '空战', '系统', '的', '信任', '问题', '，', '加强', '人', '-机', '在', '各类', '场景', '空战', '中', '的', '协同', '作战', '。']","['美国', '防务一号》网站', '近日', '报道', '称', '美国国防部高级研究计划局', 'DA', 'R', 'PA', '启动', '空战', '进化', 'AC', 'E', '项目', '测试', '人类', '飞行员', '人工', '智能', '实体', '激烈', '空战', '中', '配合', '研究', '人类', '自主', '空战', '系统', '信任', '-机', '各类', '场景', '空战', '中', '协同', '作战']","['空战', '）', '（', '人类', '研究']",战斗
2019/5/25 0:07:42,据美国《空军时报》网站23日报道，北美防空司令部通报称，美军战机连续两天在阿拉斯加附近拦截俄军战略轰炸机和护航战斗机编队，这是今年以来俄军机第5次闯入美国防空识别区。,俄战略轰炸机连闯美防空识别区 节奏不断加快,http://news.china.com.cn/2019-05/25/content_74820167.htm,"['据', '美国', '《', '空军时报', '》', '网站', '23日', '报道', '，', '北美防空司令部', '通报', '称', '，', '美军', '战机', '连续', '两天', '在', '阿拉斯加', '附近', '拦截', '俄军', '战略', '轰炸机', '和', '护航', '战斗机编队', '，', '这是', '今年', '以来', '俄', '军机', '第5次', '闯入', '美国', '防空', '识别', '区', '。']","['美国', '空军时报', '网站', '23日', '报道', '北美防空司令部', '通报', '称', '美军', '战机', '连续', '两天', '阿拉斯加', '拦截', '俄军', '战略', '轰炸机', '护航', '战斗机编队', '这是', '俄', '军机', '第5次', '闯入', '美国', '防空', '识别', '区']","['防空', '识别', '美国', '次', '5']",防空
2018/9/14 9:11:42,据美国福克斯新闻频道网站9月7日报道称，美国空军和洛克希德-马丁公司现在已经在F-22“猛禽”战斗机上验证了几款新武器，以便为这种隐形战斗机装备更多的远程精确打击技术、更大的瞄准范围以及可以让飞机间实现改良的实时“协同瞄准”的新联网技术。,40年后仍保持技术优势？美为F-22验证新机载武器,http://news.china.com.cn/2018-09/14/content_63424162.htm,"['据', '美国福克斯', '新闻', '频道', '网站', '9月7日', '报道', '称', '，', '美国空军', '和', '洛克希德-马丁公司', '现在', '已经', '在', 'F-22', '“', '猛禽', '”', '战斗机', '上', '验证', '了', '几款', '新', '武器', '，', '以便', '为', '这种', '隐形', '战斗机', '装备', '更', '多', '的', '远程', '精确', '打击', '技术', '、', '更', '大', '的', '瞄准', '范围', '以及', '可以', '让', '飞机', '间', '实现', '改良', '的', '实时', '“', '协同', '瞄准', '”', '的', '新', '联网', '技术', '。']","['美国福克斯', '新闻', '频道', '网站', '9月7日', '报道', '称', '美国空军', '洛克希德-马丁公司', 'F-22', '猛禽', '战斗机', '验证', '几款', '新', '武器', '隐形', '战斗机', '装备', '更', '远程', '精确', '打击', '技术', '更', '瞄准', '飞机', '间', '改良', '实时', '协同', '瞄准', '新', '联网', '技术']","['战斗机', '-', '瞄准', '新', '技术']",其它
2018/9/7 0:05:00,”　　这些消息人士的说法进一步证实了一种说法，即生产歼-20的成都飞机工业集团将于2019年增开该隐身战斗机的第四条生产线。（编译/龙君）　　资料图片：网络上流传的歼-20搭载低可观测性能国产发动机试飞照片。,港媒:新型歼20换装涡扇15发动机 年底量产,http://news.china.com.cn/2018-09/07/content_62620302.htm,"['”', '这些', '消息', '人士', '的', '说法', '进一步', '证实', '了', '一种', '说法', '，', '即', '生产', '歼', '-', '20', '的', '成都飞机工业集团', '将', '于', '2019年', '增开', '该', '隐身', '战斗机', '的', '第四条', '生产线', '。', '（', '编译', '/龙君', '）', '资料', '图片', '：', '网络', '上', '流传', '的', '歼-', '20', '搭载', '低', '可', '观测', '性能', '国产', '发动机', '试飞', '照片', '。']","['消息', '人士', '说法', '进一步', '证实', '一种', '说法', '生产', '歼', '20', '成都飞机工业集团', '2019年', '增开', '隐身', '战斗机', '第四条', '生产线', '编译', '/龙君', '资料', '图片', '网络', '流传', '歼-', '20', '搭载', '低', '观测', '性能', '国产', '发动机', '试飞', '照片']","['', '说法', '试飞', '编译', '第四条']",试飞
