date,abstra,title,ul,cw,rsw,kw,label
2021/1/1 15:32:07,nan,咬定青山不放松 脚踏实地加油干,http://www.china.com.cn/opinion2020/2021-01/01/content_77071549.shtml,['nan'],['nan'],['nan'],nan
2020/12/21 10:35:36,据海军新闻发言人刘文胜海军大校介绍，中国海军山东舰航母编队20日顺利通过台湾海峡，赴南海相关海域开展训练。,山东舰航母编队航经台湾海峡赴南海跨区机动训练,http://news.china.com.cn/2020-12/21/content_77034297.htm,"['据', '海军', '新闻发言人', '刘文胜海军大校', '介绍', '，', '中国海军山东舰航母编队', '20日', '顺利', '通过', '台湾海峡', '，', '赴', '南海', '相关', '海域', '开展', '训练', '。']","['海军', '新闻发言人', '刘文胜海军大校', '介绍', '中国海军山东舰航母编队', '20日', '顺利', '台湾海峡', '赴', '南海', '相关', '海域', '训练']","['开展', '海军', '海域', '相关', '南海']",训练
2020/12/21 9:17:33,据海军新闻发言人刘文胜海军大校介绍，昨日，中国海军山东舰航母编队顺利通过台湾海峡，赴南海相关海域开展训练。这次组织山东舰航母编队跨区机动训练，是根据年度计划作出的正常安排，今后我们还将根据训练需要继续组织类似行动。,山东舰航母编队通过台湾海峡赴南海开展训练,http://news.china.com.cn/2020-12/21/content_77033743.htm,"['据', '海军', '新闻发言人', '刘文胜海军大校', '介绍', '，', '昨日', '，', '中国海军山东舰航母编队', '顺利', '通过', '台湾海峡', '，', '赴', '南海', '相关', '海域', '开展', '训练', '。', '这次', '组织', '山东舰航母编队', '跨', '区', '机动', '训练', '，', '是', '根据', '年度', '计划', '作出', '的', '正常', '安排', '，', '今后', '我们', '还', '将', '根据', '训练', '需要', '继续', '组织', '类似', '行动', '。']","['海军', '新闻发言人', '刘文胜海军大校', '介绍', '昨日', '中国海军山东舰航母编队', '顺利', '台湾海峡', '赴', '南海', '相关', '海域', '训练', '组织', '山东舰航母编队', '跨', '区', '机动', '训练', '年度', '计划', '作出', '安排', '训练', '组织', '类似']","['训练', '组织', '编队', '海军', '类似']",训练
2020/12/18 10:56:04,一年前的12月17日，我国第一艘国产航空母舰“中国人民解放军海军山东舰”正式交付海军，舷号为“17”。航母，是一个国家综合国力和海军实力的象征，建设一支拥有航母的强大海军，寄托着中华民族向海图强的历史夙愿。山东舰，生日快乐，继续乘风破浪吧！,山东舰，生日快乐,http://ocean.china.com.cn/2020-12/18/content_77025747.htm,"['一年', '前', '的', '12月17日', '，', '我国', '第一艘', '国产', '航空母舰', '“', '中国人民解放军海军山东舰', '”', '正式', '交付', '海军', '，', '舷号', '为', '“', '17', '”', '。', '航母', '，', '是', '一个', '国家', '综合', '国力', '和', '海军', '实力', '的', '象征', '，', '建设', '一', '支', '拥有', '航母', '的', '强大', '海军', '，', '寄托', '着', '中华民族', '向', '海图', '强', '的', '历史', '夙愿', '。', '山东舰', '，', '生日', '快乐', '，', '继续', '乘风破浪', '吧', '！']","['一年', '前', '12月17日', '我国', '第一艘', '国产', '航空母舰', '中国人民解放军海军山东舰', '正式', '交付', '海军', '舷号', '17', '航母', '国家', '综合', '国力', '海军', '实力', '象征', '建设', '支', '拥有', '航母', '强大', '海军', '寄托', '中华民族', '海图', '强', '历史', '夙愿', '山东舰', '生日', '快乐', '乘风破浪']","['海军', '舰', '继续', '历史', '航母']",其它
2020/12/6 9:46:32,今年是我军建设发展“十三五”规划收官之年，要采取超常措施，克服疫情影响，集中力量打好规划落实攻坚战，力保重大任务完成、战略能力有大的提升。,一心听号令 一切为打赢——全军部队落实“十三五”规划奋力实现强军目标,http://news.china.com.cn/2020-12/06/content_76982890.htm,"['今年', '是', '我军', '建设', '发展', '“', '十三五', '”', '规划', '收官', '之', '年', '，', '要', '采取', '超常', '措施', '，', '克服', '疫情', '影响', '，', '集中', '力量', '打', '好', '规划', '落实', '攻坚战', '，', '力保', '重大', '任务', '完成', '、', '战略', '能力', '有', '大', '的', '提升', '。']","['我军', '建设', '发展', '十三五', '规划', '收官', '年', '超常', '措施', '克服', '疫情', '影响', '力量', '规划', '落实', '攻坚战', '力保', '战略', '能力', '提升']","['规划', '大', '我军', '能力', '战略']",其它
2020/11/24 9:44:42,11月22日，在哈尔滨工程大学军工操场厚达10厘米的积雪上，来自多个学院的700余名学子挥动铁锹，清雪运雪、平整塑形，3个小时后，在雪地里“山东舰”、“095核潜艇、“7103救生艇”、“奋斗者号潜水器”打造完成。,利用北斗导航精准定位 哈工程师生雪地里造舰队！,http://edu.china.com.cn/2020-11/24/content_76942733.htm,"['11月22日', '，', '在', '哈尔滨工程大学', '军工', '操场', '厚', '达', '10厘米', '的', '积雪', '上', '，', '来自', '多个', '学院', '的', '700余名', '学子', '挥动', '铁锹', '，', '清雪', '运雪', '、', '平整', '塑形', '，', '3个小时', '后', '，', '在', '雪地', '里', '“', '山东舰', '”', '、', '“', '095核潜艇', '、', '“', '7103', '救生艇', '”', '、', '“', '奋斗', '者', '号', '潜水器', '”', '打造', '完成', '。']","['11月22日', '哈尔滨工程大学', '军工', '操场', '厚', '达', '10厘米', '积雪', '多个', '学院', '700余名', '学子', '挥动', '铁锹', '清雪', '运雪', '平整', '塑形', '3个小时', '雪地', '里', '山东舰', '095核潜艇', '7103', '救生艇', '奋斗', '号', '潜水器', '打造']","['打造', '月', '潜水器', '号', '奋斗']",其它
2020/11/24 0:06:40,今年已经是哈工程师生连续第三年将雪地航母“开”进军工操场。从2018年的“辽宁号”，到2019年的“双舰合璧”，哈工程师生们在雪地上绘制海洋梦。,利用北斗导航精准定位 哈工程师生雪地里造舰队！,http://news.china.com.cn/2020-11/24/content_76941332.htm,"['今年', '已经', '是', '哈', '工程', '师生', '连续', '第三年', '将', '雪地', '航母', '“', '开', '”', '进', '军工', '操场', '。', '从', '2018年', '的', '“', '辽宁', '号', '”', '，', '到', '2019年', '的', '“', '双', '舰', '合璧', '”', '，', '哈', '工程', '师生', '们', '在', '雪地', '上', '绘制', '海洋', '梦', '。']","['工程', '师生', '连续', '第三年', '雪地', '航母', '开', '进', '军工', '操场', '2018年', '辽宁', '号', '2019年', '双', '舰', '合璧', '工程', '师生', '雪地', '绘制', '海洋', '梦']","['年', '工程', '海洋', '工', '已经']",其它
2020/11/23 7:33:00,700余位该校师生在东北最大的操场，利用这里的积雪“建造”出了我国首艘国产航母山东舰、095型攻击核潜艇、我国第一艘载人潜水器“7103”号救生艇以及万米载人潜水器“奋斗者”号。,玩雪玩出新高度！哈工程700余师生利用积雪“建造”航母,http://news.china.com.cn/2020-11/23/content_76937954_3.htm,"['700余位', '该', '校', '师生', '在', '东北', '最大', '的', '操场', '，', '利用', '这里', '的', '积雪', '“', '建造', '”', '出', '了', '我国', '首艘', '国产', '航母', '山东舰', '、', '095', '型', '攻击', '核潜艇', '、', '我国', '第一艘', '载人', '潜水器', '“', '7103”号救生艇', '以及', '万米', '载人', '潜水器', '“', '奋斗', '者', '”', '号', '。']","['700余位', '校', '师生', '东北', '操场', '利用', '积雪', '建造', '出', '我国', '首艘', '国产', '航母', '山东舰', '095', '型', '攻击', '核潜艇', '我国', '第一艘', '载人', '潜水器', '7103”号救生艇', '万米', '载人', '潜水器', '奋斗', '号']","['我国', '号', '潜水器', '载人', '余']",其它
2020/10/30 19:40:14,我国首艘国产航母山东舰于去年12月17日正式入列人民海军，至今已有10个月。近日，山东舰训练的最新视频在媒体公开，这是时隔5个月，有关山东舰海上试验训练的内容再度曝光。香港媒体称，9月1日至23日间，首艘国产航母山东舰在渤海海域开展训练。,山东舰海上试验训练再曝光：展示舰载机起降全程细节,http://news.china.com.cn/2020-10/30/content_76861248.htm,"['我国', '首艘', '国产', '航母', '山东', '舰', '于', '去年12月17日', '正式', '入列', '人民', '海军', '，', '至今', '已', '有', '10个月', '。', '近日', '，', '山东舰训练', '的', '最新', '视频', '在', '媒体', '公开', '，', '这是', '时隔', '5个月', '，', '有关', '山东', '舰', '海上', '试验', '训练', '的', '内容', '再度', '曝光', '。', '香港', '媒体', '称', '，', '9月1日', '至', '23日', '间', '，', '首艘', '国产', '航母', '山东', '舰', '在', '渤海', '海域', '开展', '训练', '。']","['我国', '首艘', '国产', '航母', '山东', '舰', '去年12月17日', '正式', '入列', '人民', '海军', '10个月', '近日', '山东舰训练', '最新', '视频', '媒体', '公开', '这是', '时隔', '5个月', '山东', '舰', '海上', '试验', '训练', '内容', '再度', '曝光', '香港', '媒体', '称', '9月1日', '23日', '间', '首艘', '国产', '航母', '山东', '舰', '渤海', '海域', '训练']","['月', '媒体', '舰', '山东', '训练']",其它
2020/9/25 10:42:04,今天是9月25日，辽宁舰8周岁生日。2012年9月25日，中国第一艘航空母舰辽宁舰交付海军。去年12月17日，我国第一艘国产航空母舰山东舰交付海军，双航母一起守卫祖国海疆。,辽宁舰8周岁 60秒回顾中国第一艘航空母舰交付海军 重温圆梦时刻,http://news.china.com.cn/2020-09/25/content_76739972.htm,"['今天', '是', '9月25日', '，', '辽宁舰', '8周岁', '生日', '。', '2012年9月25日', '，', '中国', '第一艘', '航空母舰', '辽宁舰交付海军', '。', '去年12月17日', '，', '我国', '第一艘', '国产', '航空母舰', '山东舰交付海军', '，', '双', '航母', '一起', '守卫', '祖国', '海疆', '。']","['9月25日', '辽宁舰', '8周岁', '生日', '2012年9月25日', '中国', '第一艘', '航空母舰', '辽宁舰交付海军', '去年12月17日', '我国', '第一艘', '国产', '航空母舰', '山东舰交付海军', '双', '航母', '守卫', '祖国', '海疆']","['日', '月', '9', '第一艘', '祖国']",其它
