date,abstra,title,ul,cw,rsw,kw,label
2021/1/10 0:21:12,中国首款具有自主知识产权的四代机歼20首飞成功。,歼20飞机首飞10周年：翱翔蓝天的歼20战斗机,http://military.china.com.cn/2021-01/10/content_77098262_10.htm,"['中国', '首款', '具有', '自主', '知识产权', '的', '四代', '机歼', '20', '首飞', '成功', '。']","['中国', '首款', '自主', '知识产权', '四代', '机歼', '20', '首飞', '成功']","['首飞', '首款', '20', '歼', '机']",其它
2020/12/22 9:57:03,深陷新冠疫情和农民抗争运动的印度，近日却决定在武器装备上砸一大笔钱。今年8月，美国媒体曝出中国空军在新疆和田空军基地相继部署空警-500预警机和歼-20隐身战机后，印度倍感压力。,印度大笔军购剑指中巴，但这次是靠“本国制造”,http://news.china.com.cn/2020-12/22/content_77038287.htm,"['深陷', '新冠', '疫情', '和', '农民', '抗争', '运动', '的', '印度', '，', '近日', '却', '决定', '在', '武器', '装备', '上', '砸', '一', '大笔', '钱', '。', '今年8月', '，', '美国', '媒体', '曝出', '中国空军', '在', '新疆', '和田空军基地', '相继', '部署', '空警', '-', '500', '预警机', '和', '歼-', '20', '隐身', '战机', '后', '，', '印度', '倍感', '压力', '。']","['深陷', '新冠', '疫情', '农民', '抗争', '运动', '印度', '近日', '武器', '装备', '砸', '大笔', '钱', '今年8月', '美国', '媒体', '曝出', '中国空军', '新疆', '和田空军基地', '相继', '部署', '空警', '500', '预警机', '歼-', '20', '隐身', '战机', '印度', '压力']","['-', '印度', '8', '大笔', '新']",其它
2020/12/6 9:46:32,今年是我军建设发展“十三五”规划收官之年，要采取超常措施，克服疫情影响，集中力量打好规划落实攻坚战，力保重大任务完成、战略能力有大的提升。,一心听号令 一切为打赢——全军部队落实“十三五”规划奋力实现强军目标,http://news.china.com.cn/2020-12/06/content_76982890.htm,"['今年', '是', '我军', '建设', '发展', '“', '十三五', '”', '规划', '收官', '之', '年', '，', '要', '采取', '超常', '措施', '，', '克服', '疫情', '影响', '，', '集中', '力量', '打', '好', '规划', '落实', '攻坚战', '，', '力保', '重大', '任务', '完成', '、', '战略', '能力', '有', '大', '的', '提升', '。']","['我军', '建设', '发展', '十三五', '规划', '收官', '年', '超常', '措施', '克服', '疫情', '影响', '力量', '规划', '落实', '攻坚战', '力保', '战略', '能力', '提升']","['规划', '大', '我军', '能力', '战略']",其它
2020/11/18 2:33:09,中国的歼-20战斗机（左）与佩戴增强现实技术头盔显示器的美国战斗机飞行员（右）.,美国开启虚实相混空战训练模式 飞行员开真实战机大战人工智能“歼-20”,http://military.china.com.cn/2020-11/18/content_76920583.htm,"['中国', '的', '歼-', '20', '战斗机', '（', '左', '）', '与', '佩戴', '增强', '现实', '技术', '头盔', '显示器', '的', '美国', '战斗机', '飞行员', '（', '右', '）', '.']","['中国', '歼-', '20', '战斗机', '左', '佩戴', '增强', '现实', '技术', '头盔', '显示器', '美国', '战斗机', '飞行员', '右']","['）', '（', '战斗机', '歼', '显示器']",其它
2020/11/11 13:11:35,面对全国多地汛情，空军部队奔赴湖北、江西、安徽等地执行抗洪抢险任务，装填沙袋、加固堤坝、转移群众，为人民群众构筑了一道道“钢铁堤坝”。,人民空军成立71周年 阔步迈向世界一流空军,http://news.china.com.cn/2020-11/11/content_76899183.htm,"['面对', '全国', '多', '地', '汛情', '，', '空军', '部队', '奔赴', '湖北', '、', '江西', '、', '安徽', '等', '地', '执行', '抗洪', '抢险', '任务', '，', '装填', '沙袋', '、', '加固', '堤坝', '、', '转移', '群众', '，', '为', '人民群众', '构筑', '了', '一道道', '“', '钢铁', '堤坝', '”', '。']","['面对', '全国', '汛情', '空军', '部队', '奔赴', '湖北', '江西', '安徽', '执行', '抗洪', '抢险', '装填', '沙袋', '加固', '堤坝', '转移', '群众', '人民群众', '构筑', '一道道', '钢铁', '堤坝']","['堤坝', '全国', '一道道', '构筑', '人民群众']",其它
2020/11/11 7:31:34,参加“国际军事比赛-2020”“空降排”项目的中国空军空降兵部队官兵进行快速射击课目的考核训练（7月24日摄）。面对全国多地汛情，空军部队奔赴湖北、江西、安徽等地执行抗洪抢险任务，装填沙袋、加固堤坝、转移群众，为人民群众构筑了一道道“钢铁堤坝”。,人民空军成立71周年 阔步迈向世界一流空军[图],http://photo.china.com.cn/2020-11/11/content_76897653.htm,"['参加', '“', '国际', '军事', '比赛', '-', '2020', '”', '“', '空降排', '”', '项目', '的', '中国空军空降兵', '部队', '官兵', '进行', '快速', '射击', '课目', '的', '考核', '训练', '（', '7月24日', '摄', '）', '。', '面对', '全国', '多', '地', '汛情', '，', '空军', '部队', '奔赴', '湖北', '、', '江西', '、', '安徽', '等', '地', '执行', '抗洪', '抢险', '任务', '，', '装填', '沙袋', '、', '加固', '堤坝', '、', '转移', '群众', '，', '为', '人民群众', '构筑', '了', '一道道', '“', '钢铁', '堤坝', '”', '。']","['参加', '国际', '军事', '比赛', '2020', '空降排', '项目', '中国空军空降兵', '部队', '官兵', '快速', '射击', '课目', '考核', '训练', '7月24日', '摄', '面对', '全国', '汛情', '空军', '部队', '奔赴', '湖北', '江西', '安徽', '执行', '抗洪', '抢险', '装填', '沙袋', '加固', '堤坝', '转移', '群众', '人民群众', '构筑', '一道道', '钢铁', '堤坝']","['堤坝', '全国', '摄', '国际', '一道道']",其它
2020/11/11 0:32:26,在历次作战行动中，共取得击落击伤敌机3818架的辉煌战绩。,人民空军成立71周年 阔步迈向世界一流空军,http://military.china.com.cn/2020-11/11/content_76896984.htm,"['在', '历次', '作战', '行动', '中', '，', '共', '取得', '击', '落击', '伤', '敌机', '3818架', '的', '辉煌', '战绩', '。']","['历次', '作战', '中', '共', '击', '落击', '伤', '敌机', '3818架', '辉煌', '战绩']","['辉煌', '作战', '架', '3818', '敌机']",其它
2020/10/29 17:13:28,29日下午，国防部举行例行记者会，国防部新闻局局长、国防部新闻发言人吴谦大校就对台军事部署、中美两军关系、加拿大军舰过航台湾海峡等热点答记者问。,国防部就对台军事部署、中美两军关系等热点答问,http://news.china.com.cn/2020-10/29/content_76856991.htm,"['29日', '下午', '，', '国防部', '举行', '例行', '记者会', '，', '国防部新闻局', '局长', '、', '国防部', '新闻发言人', '吴谦', '大校', '就', '对', '台', '军事', '部署', '、', '中美', '两', '军', '关系', '、', '加拿大', '军舰', '过航', '台湾海峡', '等', '热点', '答', '记者', '问', '。']","['29日', '下午', '国防部', '例行', '记者会', '国防部新闻局', '局长', '国防部', '新闻发言人', '吴谦', '大校', '台', '军事', '部署', '中美', '两', '军', '关系', '加拿大', '军舰', '过航', '台湾海峡', '热点', '答', '记者', '问']","['国防部', '记者', '日', '答', '热点']",其它
2020/10/29 16:50:18,国防部29日举行例行记者会，国防部新闻局局长、国防部新闻发言人吴谦大校在答记者问时表示，中国人民解放军捍卫国家主权和领土完整、挫败任何形式“台独”分裂势力的能力始终都在，意志坚定不移。,国防部回应对台军事部署：能力始终都在，意志坚定不移,http://military.china.com.cn/2020-10/29/content_76856855.htm,"['国防部', '29日', '举行', '例行', '记者会', '，', '国防部新闻局', '局长', '、', '国防部', '新闻发言人', '吴谦', '大校', '在', '答', '记者', '问', '时', '表示', '，', '中国人民解放军', '捍卫', '国家', '主权', '和', '领土', '完整', '、', '挫败', '任何', '形式', '“', '台独', '”', '分裂', '势力', '的', '能力', '始终', '都', '在', '，', '意志', '坚定不移', '。']","['国防部', '29日', '例行', '记者会', '国防部新闻局', '局长', '国防部', '新闻发言人', '吴谦', '大校', '答', '记者', '问', '时', '中国人民解放军', '捍卫', '国家', '主权', '领土', '完整', '挫败', '形式', '台独', '分裂', '势力', '能力', '始终', '意志', '坚定不移']","['国防部', '意志', '都', '始终', '能力']",其它
2020/10/29 16:36:13,吴谦大校表示，中国人民解放军捍卫国家主权和领土完整、挫败任何形式“台独”分裂势力的能力始终都在，意志坚定不移。,国防部回应对台军事部署：能力始终都在，意志坚定不移,http://news.china.com.cn/2020-10/29/content_76856824.htm,"['吴谦', '大校', '表示', '，', '中国人民解放军', '捍卫', '国家', '主权', '和', '领土', '完整', '、', '挫败', '任何', '形式', '“', '台独', '”', '分裂', '势力', '的', '能力', '始终', '都', '在', '，', '意志', '坚定不移', '。']","['吴谦', '大校', '中国人民解放军', '捍卫', '国家', '主权', '领土', '完整', '挫败', '形式', '台独', '分裂', '势力', '能力', '始终', '意志', '坚定不移']","['意志', '大校', '都', '始终', '能力']",其它
2020/10/9 8:31:33,据印度媒体报道，印度空军参谋长和国大党领导人近日相继表态“做好了空袭中国的准备”“能够快速击退中国”。另有分析人士认为，印度空军打算用非隐形战斗机对拥有完善的先进防空网络的中国实施空袭，完全是飞蛾扑火，有来无回。,印军真的“做好空袭中国的准备”？专家：印空军自信只能停在口头上,http://news.china.com.cn/2020-10/09/content_76787715.htm,"['据', '印度', '媒体', '报道', '，', '印度', '空军', '参谋长', '和', '国大党', '领导人', '近日', '相继', '表态', '“', '做好', '了', '空袭', '中国', '的', '准备', '”', '“', '能够', '快速', '击退', '中国', '”', '。', '另', '有', '分析', '人士', '认为', '，', '印度', '空军', '打算', '用', '非', '隐形', '战斗机', '对', '拥有', '完善', '的', '先进', '防空', '网络', '的', '中国', '实施', '空袭', '，', '完全', '是', '飞蛾扑火', '，', '有来无回', '。']","['印度', '媒体', '报道', '印度', '空军', '参谋长', '国大党', '领导人', '近日', '相继', '表态', '做好', '空袭', '中国', '快速', '击退', '中国', '分析', '人士', '印度', '空军', '打算', '非', '隐形', '战斗机', '拥有', '完善', '先进', '防空', '网络', '中国', '实施', '空袭', '飞蛾扑火', '有来无回']","['中国', '印度', '空袭', '无', '分析']",其它
2020/9/24 0:44:12,鲲鹏展翅，九万里，翻动扶摇羊角。,组合拳后，运-20来了！,http://military.china.com.cn/2020-09/24/content_76733984.htm,"['鲲鹏', '展翅', '，', '九万里', '，', '翻动', '扶摇羊角', '。']","['鲲鹏', '展翅', '九万里', '翻动', '扶摇羊角']","['扶摇', '鹏', '翻动', '里', '九万']",其它
2020/9/21 1:04:05,中国军网发布战机组合拳壁纸，轰-6K、歼-10列队来袭！,超豪华战机阵容高清壁纸来了，收藏这份霸气！,http://military.china.com.cn/2020-09/21/content_76722944.htm,"['中国', '军网', '发布', '战机', '组合', '拳壁', '纸', '，', '轰-', '6K', '、', '歼-', '10列队', '来袭', '！']","['中国', '军网', '发布', '战机', '组合', '拳壁', '纸', '轰-', '6K', '歼-', '10列队', '来袭']","['-', '列队', '军网', '壁纸', '组合拳']",其它
2020/9/18 13:51:41,面对困局，华为即将开始移动生态的艰难探索之路。遭到“断供”后的华为将何去何从？,华为芯片断供 “卡脖子”倒逼攻坚,http://www.china.com.cn/opinion2020/2020-09/18/content_76717383.shtml,"['面对', '困局', '，', '华为', '即将', '开始', '移动', '生态', '的', '艰难', '探索', '之', '路', '。', '遭到', '“', '断', '供', '”', '后', '的', '华为', '将', '何去何从', '？']","['面对', '困局', '华为', '生态', '艰难', '探索', '路', '断', '供', '华为', '何去何从']","['华为', '断供', '探索', '困局', '艰难']",其它
2020/8/18 8:25:00,据美国之音等外媒网站17日报道，台湾正式签订采购合约，向美国购买66架最新型的F-16V战机，预计2026年交付完成。岛内亲绿媒体三立新闻网称，这批F-16V战斗机号称功能最齐全，航电与战斗能力都足以跟大陆歼-20抗衡。,台湾F-16V匹敌歼-20？ 大陆军事专家：夸大其词，缺乏基本常识,http://news.china.com.cn/2020-08/18/content_76609768.htm,"['据', '美国之音', '等', '外媒', '网站', '17日', '报道', '，', '台湾', '正式', '签订', '采购', '合约', '，', '向', '美国', '购买', '66架', '最', '新型', '的', 'F-', '16V', '战机', '，', '预计', '2026年', '交付', '完成', '。', '岛内', '亲绿', '媒体', '三立新闻网', '称', '，', '这', '批', 'F-', '16V', '战斗机', '号称', '功能', '最', '齐全', '，', '航电', '与', '战斗', '能力', '都', '足以', '跟', '大陆', '歼', '-', '20', '抗衡', '。']","['美国之音', '外媒', '网站', '17日', '报道', '台湾', '正式', '签订', '采购', '合约', '美国', '购买', '66架', '新型', 'F-', '16V', '战机', '预计', '2026年', '交付', '岛内', '亲绿', '媒体', '三立新闻网', '称', '批', 'F-', '16V', '战斗机', '号称', '功能', '齐全', '航电', '能力', '足以', '大陆', '歼', '20', '抗衡']","['-', '亲', '交付', '外媒', '16V']",其它
